Symbol,Date,Open,High,Low,Close,Volume
AAPL,2021-04-06,125.9,127.105,125.6796,126.21,28758
AAPL,2021-04-07,126.21,127.91,125.15,127.9,28759
AAPL,2021-04-08,127.9,130.3872,127.9,130.36,28761
AAPL,2021-04-09,130.36,132.995,129.51,132.995,21589
AAPL,2021-04-11,132.995,132.995,132.995,132.995,7200
AAPL,2021-04-12,132.995,132.995,130.645,131.24,28726
AAPL,2021-04-13,131.24,134.625,131.24,134.43,28730
AAPL,2021-04-14,134.43,134.97,131.665,132.03,28733
AAPL,2021-04-15,132.03,134.98,132.03,134.5,28734
AAPL,2021-04-16,134.5,134.62,133.3201,134.16,21570
AAPL,2021-04-18,134.16,134.16,134.16,134.16,7199
AAPL,2021-04-19,134.16,135.45,133.36,134.84,28732
AAPL,2021-04-20,134.84,135.52,131.835,133.11,28733
AAPL,2021-04-21,133.11,133.73,131.335,133.5,28733
AAPL,2021-04-22,133.5,134.145,131.4209,131.94,28733
AAPL,2021-04-23,131.94,135.11,131.94,134.32,21569
AAPL,2021-04-25,134.32,134.32,134.32,134.32,7217
AAPL,2021-04-26,134.32,135.05,133.57,134.72,28799
AAPL,2021-04-27,134.72,135.32,134.12,134.39,28799
AAPL,2021-04-28,134.39,134.98,133.09,133.58,28800
AAPL,2021-04-29,133.58,137.0176,132.4757,133.48,28799
AAPL,2021-04-30,133.48,133.55,131.065,131.46,21620
AAPL,2021-05-02,131.46,131.46,131.46,131.46,7214
AAPL,2021-05-03,131.46,134.05,131.46,132.54,28795
AAPL,2021-05-04,132.54,132.54,126.705,127.85,28797
AAPL,2021-05-05,127.85,130.42,127.85,128.1,28796
AAPL,2021-05-06,128.1,129.74,127.1583,129.74,28796
AAPL,2021-05-07,129.74,131.23,129.51,130.21,21617
AAPL,2021-05-09,130.21,130.21,130.21,130.21,7192
AAPL,2021-05-10,130.21,130.21,126.84,126.85,28751
AAPL,2021-05-11,126.85,126.85,122.84,125.91,28796
AAPL,2021-05-12,125.91,125.91,122.2614,122.77,28796
AAPL,2021-05-13,122.77,126.13,122.77,124.97,28778
AAPL,2021-05-14,124.97,127.82,124.97,127.45,21620
AAPL,2021-05-16,127.45,127.45,127.45,127.45,7196
